restaurant,product_name,price_toman,collected_at
shila,پیتزا اسپینا چیکن 30 سانتی متری,818000.0,2026-05-23
shila,پیتزا مخلوط پلاس 30 سانتی,1017000.0,2026-05-23
shila,پیتزا هات چیکن 30 سانتی متری,818000.0,2026-05-23
shila,پیتزا اسپشیال 30 سانتی متری,918000.0,2026-05-23
shila,پیتزا کویین 30 سانتی متری,999000.0,2026-05-23
shila,پیتزا دونر استیک 30 سانتی متری,958000.0,2026-05-23
shila,پیتزا گوشت و قارچ 30 سانتی متری,918000.0,2026-05-23
shila,پیتزا سبزیجات 30 سانتی متری,678000.0,2026-05-23
shila,پیتزا مخلوط 30 سانتی متری,768000.0,2026-05-23
shila,پیتزا رست بیف 30 سانتی متری,968000.0,2026-05-23
shila,پیتزا مرغ 30 سانتی متری,798000.0,2026-05-23
meykhosh,پیتزا مخصوص,1162000,2026-05-23
meykhosh,پیتزا مخلوط,1060000,2026-05-23
meykhosh,پیتزا یونانی,1162000,2026-05-23
meykhosh,پیتزا گوشت و قارچ,1257000,2026-05-23
meykhosh,پیتزا گوشت و پیاز,1275000,2026-05-23
meykhosh,پیتزا رست بیف,1486000,2026-05-23
meykhosh,پیتزا میکس,1249000,2026-05-23
meykhosh,پیتزا مرغ  و قارچ,1043000,2026-05-23
meykhosh,پیتزا کالزونه,1060000,2026-05-23
meykhosh,پیتزا سوسیس,919000,2026-05-23
meykhosh,پیتزا سوسیس و قارچ,957000,2026-05-23
meykhosh,پیتزا پپرونی,1010000,2026-05-23
meykhosh,پیتزا مکزیکی,1073000,2026-05-23
meykhosh,پیتزا قارچ,819000,2026-05-23
meykhosh,پیتزا مارگاریتا,725000,2026-05-23
meykhosh,پیتزا سبزیجات,883000,2026-05-23
meykhosh,پیتزا مدیترانه,892000,2026-05-23
meykhosh,پیتزا سیر و استیک,1538000,2026-05-23
meykhosh,پیتزا سالامی,953000,2026-05-23
meykhosh,پیتزا میکس (مرغ دودی),1240000,2026-05-23
meykhosh,پیتزا مرغ دودی و قارچ,1041000,2026-05-23
meykhosh,پیتزا بوقلمون و قارچ,978000,2026-05-23
meykhosh,پیتزا سیر و بیکن,1583000,2026-05-23
perperok,پیتزا پنجره ای,10400000,2026-05-23
perperok,پیتزا ژامبون استیک با فلفل,12250000,2026-05-23
perperok,پیتزا ژامبون استیک,12050000,2026-05-23
perperok,پیتزا مرغ تنوری,12650000,2026-05-23
perperok,پیتزا پپرونی,10300000,2026-05-23
perperok,پیتزا گوشت و قارچ,11750000,2026-05-23
perperok,پیتزا گوشت و پیاز,11100000,2026-05-23
perperok,پیتزا برتولی ,11500000,2026-05-23
perperok,پیتزا سبزیجات,7250000,2026-05-23
perperok,پیتزا آروستو,11550000,2026-05-23
perperok,پیتزا قارچ,8150000,2026-05-23
perperok,پیتزا مارگاریتا,7400000,2026-05-23
perperok,پیتزا پنیر مخصوص پرپروک,8350000,2026-05-23
perperok,پیتزا آروستوپینو,11750000,2026-05-23
perperok,پیتزا کارزانا,12700000,2026-05-23
perperok,پیتزا تندوری,11100000,2026-05-23
chickenfamily,پیتزا سیر و استیک مرغ,798000.0,2026-05-23
chickenfamily,پیتزا سبزیجات,568000.0,2026-05-23
chickenfamily,پیتزا سیر و استیک گوشت,1098000.0,2026-05-23
chickenfamily,پیتزا گوشت و قارچ,858000.0,2026-05-23
chickenfamily,پیتزا رست بیف,988000.0,2026-05-23
